Col_Names	Row_Count	Col_Name_PBI	To_Hide
Organic	0	Organic	1
Organic_Claim	0	Organic Claim	1
Pack_Long_Name	791	Pack Long Name	0
Pack_Range	0	Pack Range	1
Pack_Size	403	Pack Size	0
Pack_Type	0	Pack Type	1
Pain_State	0	Pain State	1
Patch_Form	0	Patch Form	1
Poison_Schedule	791	Poison Schedule	0
Portion	0	Portion	1
Practitioner	0	Practitioner	1
Prepack	0	Prepack	1
Price_Range	0	Price Range	1
Price_Tier	0	Price Tier	1
Primary_Usage	0	Primary Usage	1
Primary_Usage_2	0	Primary Usage 2	1
Private_Label	0	Private Label	1
Probiotic	0	Probiotic	1
Product_Form	0	Product Form	1
Product_Type	0	Product Type	1
Protein_Content	0	Protein Content	1
Segment	791	Segment	0
Sub_Segment	791	Sub Segment	0
Sub_Segment_1	0	Sub Segment 1	1
Sub_Segment_2	0	Sub Segment 2	1
Sub_Segment_3	0	Sub Segment 3	1
Client_Segment	0	Client Segment	1
Global_Segment	0	Global Segment	1
Pregnancy_Segment	0	Pregnancy Segment	1
Pregnancy_Sub_Segment	0	Pregnancy Sub Segment	1
Sensitive_Claim	0	Sensitive Claim	1
Size	589	Size	0
Skin_Type	0	Skin Type	1
Source	0	Source	1
SPF	0	SPF	1
Stage	0	Stage	1
Storage	0	Storage	1
Strength	0	Strength	1
Sugar_Free_Claim	0	Sugar Free Claim	1
Sustain_Release	0	Sustain Release	1
Target_Consumer	0	Target Consumer	1
Topical_Corticosteroids_Type	0	Topical Corticosteroids Type	1
Total_Pregnancy	0	Total Pregnancy	1
Type	0	Type	1
Use	0	Use	1
User	0	User	1
Product_Ownership	791	Product Ownership	0
Product_Name	791	Product Name	1
Pack_Name	791	Pack Name	1
NEC1_Code	791	NEC1 Code	1
NEC1_Desc	791	NEC1 Desc	1
NEC2_Code	791	NEC2 Code	1
NEC2_Desc	791	NEC2 Desc	1
NEC3_Code	791	NEC3 Code	1
NEC3_Desc	791	NEC3 Desc	1
NEC4_Code	791	NEC4 Code	1
NEC4_Desc	791	NEC4 Desc	1
CH_Segment_Code	791	CH Segment Code	1
CH_Segment_Desc	791	CH Segment Desc	1
Consumer_or_Rx	791	Consumer or Rx	1
Poison_Schedule_Desc	791	Poison Schedule Desc	1
Pack_Launch_Date	791	Pack Launch Date	1
Product_Launch_Date	791	Product Launch Date	1
Out_of_Trade_Date	791	Out of Trade Date	1
Volume_Unit	791	Volume Unit	1
Volume_Measure	791	Volume Measure	1
Strength_Unit	791	Strength Unit	1
Strength_Measure	791	Strength Measure	1
Form_Desc_Abbr	791	Form Desc Abbr	1
Form_Desc_Long	791	Form Desc Long	1
Sundry_Code	791	Sundry Code	1
Sundry_Desc	791	Sundry Desc	1
Manufacturer_code	791	Manufacturer code	1
Manufacturer_Abbr	791	Manufacturer Abbr	1
Manufacturer_Long	791	Manufacturer Long	1
Price_Reference	791	Price Reference	1
Medicine_Type_Code	791	Medicine Type Code	1
Medicine_Type_Desc	791	Medicine Type Desc	1
Subbrand	788	Subbrand	1
CHC1_Code	791	CHC1 Code	1
CHC1_Desc	791	CHC1 Desc	1
CHC2_Code	791	CHC2 Code	1
CHC2_Desc	791	CHC2 Desc	1
CHC3_Code	791	CHC3 Code	1
CHC3_Desc	791	CHC3 Desc	1
CHC4_Code	791	CHC4 Code	1
CHC4_Desc	791	CHC4 Desc	1
CWH_Rate_Category_Code	791	CWH Rate Category Code	1
CWH_Rate_Category_Name	791	CWH Rate Category Name	1
