Col_Names	Row_Count	Col_Name_PBI	To_Hide	Group
Total_Pregnancy	0	Total Pregnancy	1	3. Product Specific
FCC	791	FCC	1	4. Other Attributes
Active_Ingredient_1	0	Active Ingredient 1	1	4. Other Attributes
Active_Ingredient_2	0	Active Ingredient 2	1	4. Other Attributes
Active_Ingredient_3	0	Active Ingredient 3	1	4. Other Attributes
Active_Ingredient_4	0	Active Ingredient 4	1	4. Other Attributes
Additional_Benefit_Claim	0	Additional Benefit Claim	1	4. Other Attributes
Adult	0	Adult	1	4. Other Attributes
Age	403	Age	0	4. Other Attributes
Age_Range	0	Age Range	1	4. Other Attributes
Age_Target	0	Age Target	1	4. Other Attributes
Application	0	Application	1	4. Other Attributes
Application_Site	0	Application Site	1	4. Other Attributes
Base_Premium	0	Base Premium	1	4. Other Attributes
Basic_Specialist	0	Basic Specialist	1	4. Other Attributes
Benefit	0	Benefit	1	4. Other Attributes
Brand_Type	791	Brand Type	0	4. Other Attributes
Client_Base_Brands	0	Client Base Brands	1	4. Other Attributes
Basic_Specialist_Subcategory	0	Basic Specialist Subcategory	1	4. Other Attributes
CGP	0	CGP	1	4. Other Attributes
Channel	791	Channel	0	4. Other Attributes
Claim	0	Claim	1	4. Other Attributes
Class	0	Class	1	4. Other Attributes
Competitor	0	Competitor	1	4. Other Attributes
Consumer	0	Consumer	1	4. Other Attributes
Day_Night	0	Day Night	1	4. Other Attributes
Drug_Class	0	Drug Class	1	4. Other Attributes
Duration	0	Duration	1	4. Other Attributes
First_Transaction_Date	776	First Transaction Date	0	4. Other Attributes
Flavour	0	Flavour	1	4. Other Attributes
Flavour_Type	0	Flavour Type	1	4. Other Attributes
Format	0	Format	1	4. Other Attributes
Gender	0	Gender	1	4. Other Attributes
Generic	0	Generic	1	4. Other Attributes
Generic_Brand	0	Generic Brand	1	4. Other Attributes
GGP	0	GGP	1	4. Other Attributes
If_PBS_or_Not	0	If PBS or Not	1	4. Other Attributes
Ingredient_Standard	0	Ingredient Standard	1	4. Other Attributes
Ingredient_Type	0	Ingredient Type	1	4. Other Attributes
Market_Name	791	Market Name	0	4. Other Attributes
Market_Number	0	Market Number	1	4. Other Attributes
Medicated_Item	0	Medicated Item	1	4. Other Attributes
Odourless	0	Odourless	1	4. Other Attributes
Patch_Form	0	Patch Form	1	4. Other Attributes
Poison_Schedule	791	Poison Schedule	0	4. Other Attributes
Portion	0	Portion	1	4. Other Attributes
Price_Range	0	Price Range	1	4. Other Attributes
Price_Tier	0	Price Tier	1	4. Other Attributes
Primary_Usage	0	Primary Usage	1	4. Other Attributes
Primary_Usage_2	0	Primary Usage 2	1	4. Other Attributes
Private_Label	0	Private Label	1	4. Other Attributes
Product_Type	0	Product Type	1	4. Other Attributes
Sub_Segment_1	0	Sub Segment 1	1	4. Other Attributes
Sub_Segment_2	0	Sub Segment 2	1	4. Other Attributes
Sub_Segment_3	0	Sub Segment 3	1	4. Other Attributes
Client_Segment	0	Client Segment	1	4. Other Attributes
Global_Segment	0	Global Segment	1	4. Other Attributes
Pregnancy_Sub_Segment	0	Pregnancy Sub Segment	1	4. Other Attributes
Source	0	Source	1	4. Other Attributes
Stage	0	Stage	1	4. Other Attributes
Storage	0	Storage	1	4. Other Attributes
Strength	0	Strength	1	4. Other Attributes
Sustain_Release	0	Sustain Release	1	4. Other Attributes
Type	0	Type	1	4. Other Attributes
Use	0	Use	1	4. Other Attributes
User	0	User	1	4. Other Attributes
Client_Code	52	Client Code	0	5. Client Related Attributes
Client_Manufacturer	0	Client Manufacturer	1	5. Client Related Attributes
Client_Name	791	Client Name	0	5. Client Related Attributes
Client_Number	791	Client Number	0	5. Client Related Attributes
Client_Reference	0	Client Reference	1	5. Client Related Attributes
Product_Name	791	Product Name	1	6. IQVIA Prod Attributes
NEC1_Code	791	NEC1 Code	1	6. IQVIA Prod Attributes
NEC1_Desc	791	NEC1 Desc	1	6. IQVIA Prod Attributes
NEC2_Code	791	NEC2 Code	1	6. IQVIA Prod Attributes
NEC2_Desc	791	NEC2 Desc	1	6. IQVIA Prod Attributes
NEC3_Code	791	NEC3 Code	1	6. IQVIA Prod Attributes
NEC3_Desc	791	NEC3 Desc	1	6. IQVIA Prod Attributes
NEC4_Code	791	NEC4 Code	1	6. IQVIA Prod Attributes
NEC4_Desc	791	NEC4 Desc	1	6. IQVIA Prod Attributes
CH_Segment_Code	791	CH Segment Code	1	6. IQVIA Prod Attributes
CH_Segment_Desc	791	CH Segment Desc	1	6. IQVIA Prod Attributes
Consumer_or_Rx	791	Consumer or Rx	1	6. IQVIA Prod Attributes
Poison_Schedule_Desc	791	Poison Schedule Desc	1	6. IQVIA Prod Attributes
Product_Launch_Date	791	Product Launch Date	1	6. IQVIA Prod Attributes
Out_of_Trade_Date	791	Out of Trade Date	1	6. IQVIA Prod Attributes
Volume_Unit	791	Volume Unit	1	6. IQVIA Prod Attributes
Volume_Measure	791	Volume Measure	1	6. IQVIA Prod Attributes
Strength_Unit	791	Strength Unit	1	6. IQVIA Prod Attributes
Strength_Measure	791	Strength Measure	1	6. IQVIA Prod Attributes
Form_Desc_Abbr	791	Form Desc Abbr	1	6. IQVIA Prod Attributes
Form_Desc_Long	791	Form Desc Long	1	6. IQVIA Prod Attributes
Sundry_Code	791	Sundry Code	1	6. IQVIA Prod Attributes
Sundry_Desc	791	Sundry Desc	1	6. IQVIA Prod Attributes
Manufacturer_code	791	Manufacturer code	1	6. IQVIA Prod Attributes
Manufacturer_Abbr	791	Manufacturer Abbr	1	6. IQVIA Prod Attributes
Manufacturer_Long	791	Manufacturer Long	1	6. IQVIA Prod Attributes
Price_Reference	791	Price Reference	1	6. IQVIA Prod Attributes
Medicine_Type_Code	791	Medicine Type Code	1	6. IQVIA Prod Attributes
Medicine_Type_Desc	791	Medicine Type Desc	1	6. IQVIA Prod Attributes
Subbrand	788	Subbrand	1	6. IQVIA Prod Attributes
CHC1_Code	791	CHC1 Code	1	6. IQVIA Prod Attributes
CHC1_Desc	791	CHC1 Desc	1	6. IQVIA Prod Attributes
CHC2_Code	791	CHC2 Code	1	6. IQVIA Prod Attributes
CHC2_Desc	791	CHC2 Desc	1	6. IQVIA Prod Attributes
CHC3_Code	791	CHC3 Code	1	6. IQVIA Prod Attributes
CHC3_Desc	791	CHC3 Desc	1	6. IQVIA Prod Attributes
CHC4_Code	791	CHC4 Code	1	6. IQVIA Prod Attributes
CHC4_Desc	791	CHC4 Desc	1	6. IQVIA Prod Attributes
CWH_Rate_Category_Code	791	CWH Rate Category Code	1	6. IQVIA Prod Attributes
CWH_Rate_Category_Name	791	CWH Rate Category Name	1	6. IQVIA Prod Attributes
