Col_Names	Row_Count	Col_Name_PBI	To_Hide
Topical_Corticosteroids_Type	0	Topical Corticosteroids Type	1
Total_Pregnancy	0	Total Pregnancy	1
Type	0	Type	1
Use	0	Use	1
User	0	User	1
Product_Ownership	215359	Product Ownership	0
Product_Name	215359	Product Name	0
Pack_Name	215197	Pack Name	0
NEC1_Code	215359	NEC1 Code	0
NEC1_Desc	215359	NEC1 Desc	0
NEC2_Code	215359	NEC2 Code	0
NEC2_Desc	215359	NEC2 Desc	0
NEC3_Code	215359	NEC3 Code	0
NEC3_Desc	215359	NEC3 Desc	0
NEC4_Code	215359	NEC4 Code	0
NEC4_Desc	215359	NEC4 Desc	0
CH_Segment_Code	215359	CH Segment Code	0
CH_Segment_Desc	215359	CH Segment Desc	0
Consumer_or_Rx	215359	Consumer or Rx	0
Poison_Schedule_Desc	215359	Poison Schedule Desc	0
Pack_Launch_Date	215359	Pack Launch Date	0
Product_Launch_Date	215359	Product Launch Date	0
Out_of_Trade_Date	215359	Out of Trade Date	0
Volume_Unit	215359	Volume Unit	0
Volume_Measure	215359	Volume Measure	0
Strength_Unit	215359	Strength Unit	0
Strength_Measure	215359	Strength Measure	0
Form_Desc_Abbr	215348	Form Desc Abbr	0
Form_Desc_Long	215320	Form Desc Long	0
Sundry_Code	215359	Sundry Code	0
Sundry_Desc	215359	Sundry Desc	0
Manufacturer_code	215359	Manufacturer code	0
Manufacturer_Abbr	215359	Manufacturer Abbr	0
Manufacturer_Long	215329	Manufacturer Long	0
Price_Reference	215359	Price Reference	0
Medicine_Type_Code	215359	Medicine Type Code	0
Medicine_Type_Desc	215359	Medicine Type Desc	0
Subbrand	214602	Subbrand	0
CHC1_Code	215359	CHC1 Code	0
CHC1_Desc	215359	CHC1 Desc	0
CHC2_Code	215359	CHC2 Code	0
CHC2_Desc	215359	CHC2 Desc	0
CHC3_Code	215359	CHC3 Code	0
CHC3_Desc	215359	CHC3 Desc	0
CHC4_Code	215359	CHC4 Code	0
CHC4_Desc	215359	CHC4 Desc	0
CWH_Rate_Category_Code	215359	CWH Rate Category Code	0
CWH_Rate_Category_Name	215359	CWH Rate Category Name	0
